n_layers,n_params,repeat,fold,r_train_log,r_test_log,RMSE_train_log,RMSE_test_log,R2_test_log,r_train_z,r_test_z,RMSE_train_z,RMSE_test_z,R2_test_z,nh_viol_train,nh_viol_test,r_nh_pred_train,r_nh_pred_test
1,42,4,9,0.6321641944245647,0.6189973494649972,0.1450482473871725,0.14195856858325875,0.31539753362845524,0.6415493226805841,0.6516547283367836,1.0716573232209836,1.4008326878586566,0.24240537063594558,0.3293176608301224,0.20346320346320346,0.5067977680668424,0.7075413389965151
1,42,4,10,0.6230768270747007,0.7671569164810026,0.13934775764654453,0.17903835682761857,0.16012866817123583,0.6409446942234552,0.779311549123174,1.0756688475383034,1.0623916165300746,0.3306456531910089,0.31014973418524117,0.4458874458874459,0.5653738530666103,0.16271068099081348
1,42,5,1,0.6355219978872197,0.7409413344600063,0.13880175393623928,0.17730933644992394,0.29974354538355263,0.6466003655485918,0.792342081021,1.0271524146414788,1.5136677935770297,0.18511626411036786,0.3234816018915324,0.2727272727272727,0.5169520272042321,0.7416101844253365
1,42,5,2,0.6179961213498355,0.5028047379944239,0.14917581597738888,0.13557402423023335,0.20827718792203298,0.6335796307539951,0.463791509728161,1.1397824042947717,0.8175221116901454,0.20287522025708737,0.30717698635535196,0.36363636363636365,0.562899981023116,0.369198771264506
1,42,5,3,0.6514461179523959,0.570710582656666,0.14365905175063162,0.12850340914465666,0.2633958705590793,0.6645916751438931,0.5861927321761983,1.092769725517126,0.8616122967512113,0.2866165114306526,0.33096891778730114,0.3675889328063241,0.5010786345968974,0.5084148179724186
1,42,5,4,0.6713313764066036,0.37810748388048365,0.13753384557592702,0.17077147602672454,0.12110549828027894,0.6837928393160472,0.30868082297318106,1.0639104213553758,1.1068667462179682,0.08731473070343865,0.3306241071868381,0.40711462450592883,0.5090381038620861,0.24278243254874649
1,42,5,5,0.6616791232008914,0.5219689497102056,0.1439043559920333,0.13696549043430864,0.19709888757428018,0.6799171720457466,0.4785501782807295,1.092723661155863,1.0009636139209301,0.20517745683974797,0.3353529382789025,0.35968379446640314,0.510536612267614,0.37870483574281616
1,42,5,6,0.6285562106534865,0.8244026616058818,0.14388229213452478,0.13466637729504716,0.4708342023054961,0.646144045080327,0.7890538591641769,1.0932123225744985,1.0412612287741139,0.36079321599654457,0.32522069940984244,0.3333333333333333,0.5352305861413558,0.5458573512475021
1,42,5,7,0.6468640899531674,0.3992845312532753,0.14396683005141997,0.13739587147332524,-0.03064057319352198,0.657309177217488,0.45572503023830646,1.1012205697714144,0.776112218627025,0.07722493703385924,0.3316100082914695,0.35064935064935066,0.5009027991536812,0.3419651013755977
1,42,5,8,0.6230591001362739,0.7670770578336024,0.14168622667117511,0.1682566949237511,0.32651318113180483,0.6296387747043666,0.8039472449018239,1.0342569417409215,1.6758910671375327,0.20183324942436254,0.31980685753304394,0.3246753246753247,0.5209066577174825,0.597859595457878
1,42,5,9,0.6461075312885659,0.6853056313009225,0.14222152888247383,0.13888962139485814,0.3631359387397306,0.656381147419029,0.7248544926365499,1.0753908745473646,1.0820994673939546,0.29660899613778213,0.3464858801151051,0.2597402597402597,0.47656830572306147,0.6244875001020952
1,42,5,10,0.6504326111428709,0.6553642079028169,0.14563476891348415,0.124200986110922,0.36939177335222206,0.6696618641953901,0.7039135354814849,1.1046704126516544,0.842463906211593,0.4350459133489383,0.2974686631224699,0.22943722943722944,0.594121790025211,0.6799174901141329
1,42,6,1,0.6325418532389148,0.7528957435151653,0.14546274121101405,0.12285165884113637,0.41702373145836924,0.6428558704290849,0.7377079269880439,1.1056187529762584,1.0463430098816668,0.29832830240145614,0.3039259149795577,0.34782608695652173,0.5687042396984643,0.45572485956995795
1,42,6,2,0.6387286420014657,0.6747036968579141,0.14082100485562468,0.15394396057812818,0.27393908327811556,0.6594355048662938,0.6821427922845834,1.0760803771792844,0.9690685739411895,0.34885919298267576,0.31392542239298554,0.2648221343873518,0.5450999490515821,0.6956950713692036
1,42,6,3,0.6269505382308727,0.6696438451090511,0.14127359574286577,0.1644706369614537,0.33275051388085486,0.6485163085127691,0.6595609987352152,1.0871165810401788,1.064678727349854,0.3551691406206686,0.3384562336830698,0.34782608695652173,0.4891987376738179,0.440181007608701
1,42,6,4,0.6594849174261712,0.4666077594058266,0.1426351346513102,0.14440293330461437,0.16398500976129426,0.6734967285215596,0.4846952342920298,1.1084462530308077,0.9987702930036372,0.07812580304085115,0.3341707305058864,0.33992094861660077,0.4980057331503613,0.5185841127192309
1,42,6,5,0.6592192227995571,0.4221641083714659,0.14194364463583226,0.13548751023948793,0.1718858487132231,0.6764207843963275,0.3769376140455027,1.0738826036966251,1.0332714330168626,0.13798915494085096,0.340328062657012,0.2845849802371542,0.47865012545596186,0.6325179650996012
1,42,6,6,0.6413717957847561,0.6142619095175164,0.13862291870446092,0.1729823422557225,0.31132109582460477,0.6448009739574375,0.6993442698256582,1.0287006509850656,1.490685022904843,0.26353198152365964,0.3498024679315222,0.21645021645021645,0.4596035389932454,0.7146992242388799
1,42,6,7,0.6429589102627303,0.614854997345843,0.14316597707269077,0.15097007254496356,0.2755810137791992,0.6568790707596251,0.5902677865744771,1.0943679490321447,1.0854629220176322,0.2074552979020453,0.3279520070233624,0.4025974025974026,0.5208211544959926,0.31677239876595537
1,42,6,8,0.6438230717749795,0.6762642931094569,0.14317951135298126,0.13694073931432663,0.2783478028563575,0.6598411056532025,0.7034694573299243,1.0882672125443527,0.9100543988300502,0.34488130437704245,0.3123445349461054,0.47619047619047616,0.561024736021161,0.229852364266848
1,42,6,9,0.6373168253454881,0.5038340019034764,0.14917471590781237,0.11567809097178547,0.244027466111848,0.6544057010022778,0.57477714628152,1.1265442396618268,0.7390085369632045,0.32927938821532066,0.31468565575769397,0.3116883116883117,0.5445822838439162,0.5556932436543954
1,42,6,10,0.6264621485254923,0.5775355703891148,0.1430807793758875,0.1616281069852959,0.17099790229503675,0.6313873551456318,0.6644278645155436,1.0585087094104029,1.572154475579989,0.09557123829989911,0.33043944788567525,0.3593073593073593,0.4963206231950238,0.48356986460423335
1,42,7,1,0.6460483509746973,0.38657253228853267,0.142934400258572,0.14645774412184115,0.10483566729794302,0.6552704238244657,0.3255616100790245,1.1037808150451716,0.8760549779417682,0.07539617093467665,0.3277671050687158,0.31225296442687744,0.5094936600411191,0.5253971788729008
1,42,7,2,0.6626168134420258,0.33202810308407466,0.13921509473407537,0.16451855452862363,0.060709611817409415,0.6742146588260349,0.375299754956545,1.042921501619462,1.404589065538842,-0.0047325925292569515,0.3389488202551598,0.34782608695652173,0.4835298702731097,0.4579187994210699
1,42,7,3,0.6314710843196228,0.6109326840046811,0.14253930923525274,0.1480424915451371,0.3266607771002663,0.6595330418360056,0.5212224814062323,1.070292532381003,1.1928296897308857,0.17970809840059465,0.329786710014285,0.3715415019762846,0.5123007062688693,0.389438565913601
1,42,7,4,0.6279303331684174,0.48728588701892905,0.14352319106310318,0.16419449392593571,0.2218613767151264,0.6392673325930638,0.5610216749041308,1.0941973414527078,1.184591643942446,0.21565955720194385,0.3222993941185163,0.2964426877470356,0.529793078600708,0.6167712995435375
1,42,7,5,0.6264125006532377,0.7042495126871328,0.14666515135328181,0.12336576446976488,0.37296160671513856,0.6405438080696938,0.7468122663466068,1.1107296295354845,0.9542209492819665,0.34615108789439475,0.3210186690310822,0.2924901185770751,0.536255323629143,0.4974916567286876
1,42,7,6,0.6391065702933312,0.536106861623936,0.14273066904864973,0.13810353813506313,0.2614689535674135,0.6496273052433305,0.5769828746608832,1.0790109762721758,1.08973020970407,0.24132466022054067,0.34238891869482513,0.38095238095238093,0.4750683402324998,0.46741307458516496
1,42,7,7,0.6412643603296315,0.68535503228111,0.1380764285816851,0.1858560868548215,0.2795789736599965,0.6584679175933237,0.6922436495300879,1.0602681584503493,1.183355571264125,0.31495497082299384,0.3103936009364483,0.36796536796536794,0.5552765806402559,0.3916978013409538
1,42,7,8,0.6143870607348472,0.6477293608757068,0.14500043966859488,0.14610296401437384,0.3264781577799253,0.6158297644263296,0.7328764410728525,1.0725369079518787,1.395384612793168,0.28226750554934055,0.3311710481392967,0.2727272727272727,0.49900609085422626,0.6983699221654444
1,42,7,9,0.6471031890789195,0.666424121250191,0.1437942247026223,0.11863593539835464,0.3711276883634078,0.6623401238585502,0.6573027515330969,1.0965282033825345,0.7676859041233665,0.3936905946941852,0.3231722186997025,0.3246753246753247,0.5342389634260842,0.5348420961154852
1,42,7,10,0.6304506433755869,0.7031182545213351,0.14390522037169076,0.13248119588655005,0.3604903100894188,0.6411814279283372,0.7326923440742148,1.0957285760700313,0.9692030661911573,0.3888632814907833,0.3405843047358923,0.35064935064935066,0.48769654932448336,0.529336350495891
1,42,8,1,0.6634543572523814,0.33796471010513224,0.13971831307724142,0.1668226451292047,0.07561611400720525,0.6693058132107638,0.3429272151019096,1.0552595249378003,1.2931930052695775,-0.024304381765314353,0.34781537855278066,0.22924901185770752,0.46198325106833926,0.7382499317940576
1,42,8,2,0.6203390439786025,0.8379368716153004,0.1448172155040441,0.1183867455218966,0.5063951842571444,0.6390155196160708,0.8356118241023978,1.0937373465311417,0.8339790544377382,0.537896151702473,0.34421949657652334,0.3241106719367589,0.4923594181026093,0.5772400802415275
1,42,8,3,0.6153540462414351,0.7926590863332676,0.14351604410521035,0.13669337747514365,0.43619233086580256,0.6187990118853187,0.8224311435339476,1.0635038469887106,1.1856817489160245,0.3819455363774832,0.340722131914684,0.3359683794466403,0.4784472713959994,0.5149620176137091
1,42,8,4,0.660527157473387,0.2480037630001909,0.14252348651096297,0.14381155797665512,-0.0011474028523053015,0.6643408327434939,0.24643792689379693,1.0881463911757818,1.0507133322308853,-0.06340162995649812,0.3339736958770504,0.3557312252964427,0.4908407970908834,0.4910395714386276
1,42,8,5,0.6492030535561342,0.7216346003185746,0.1436343877173889,0.14123612919247092,0.30930369809639546,0.6652516380279816,0.725166778301823,1.1005270631080464,0.8654952950673921,0.39075907312571745,0.2914142160484705,0.34782608695652173,0.6043119156203357,0.3511607684386981
1,42,8,6,0.6544109554908584,0.5255324100225444,0.14083158976893662,0.15236603078264668,0.06980064053550983,0.6632673790992557,0.5862645772567558,1.0837991677740193,1.222886071173181,-0.008168985929274175,0.33146368824074524,0.38961038961038963,0.503792367377991,0.3376190818746155
1,42,8,7,0.5695785684900543,0.4704759700848893,0.14890866631648766,0.18395643004898785,0.1445103360677925,0.6085167661374385,0.4165781733128408,1.16436825620807,1.097592449367188,0.15726546783769835,0.2583036628786031,0.2727272727272727,0.6799806107137238,0.6422543831107289
1,42,8,8,0.631942955528347,0.4351406631802746,0.14494348147030336,0.13541554766807085,0.1819169060194472,0.6478533274432358,0.39829086882314796,1.0929524404634152,0.982048850135945,0.14935483277452588,0.3167829098180754,0.35064935064935066,0.5425900898097826,0.6115751902514537
1,42,8,9,0.6325866956369192,0.4216099578861494,0.1466070082124461,0.14551776007763423,0.17249592502493138,0.6495321971407119,0.4581349790065114,1.0868406969016393,1.1469112817077136,0.16258716833867526,0.3328781153977467,0.2727272727272727,0.5015293407925656,0.6069812937835307
1,42,8,10,0.6126055877074762,0.7700872282589907,0.14267321246118264,0.1601008283569374,0.33604074061296985,0.6177457575629838,0.7924633090215134,1.0609804328964658,1.4064875907183896,0.34084484296311934,0.3357069697117495,0.3203463203463203,0.48685186256081553,0.5753158947023784
1,42,9,1,0.6278128106258422,0.7281514585969111,0.14220111815941242,0.1511760689193024,0.36535275563002756,0.6399348553799654,0.7066569473434169,1.0674045896127977,1.1903968366727302,0.31585116162143,0.30786660755627804,0.38735177865612647,0.5651018522624246,0.5354254149176703
1,42,9,2,0.6516366913068556,0.22155512490000986,0.14099980476654717,0.1571105693778751,-0.16233138263866498,0.6608000955915936,0.17102810898126902,1.0753557943229246,0.9190853565684497,-0.11670056166889786,0.3333825919905423,0.383399209486166,0.5081560263856293,0.27736418743805663
1,42,9,3,0.6316792318194696,0.5087808751862494,0.14056909918653923,0.1785603099319272,0.23007683375805477,0.6326370816106763,0.6304756453602736,1.031258035224577,1.592650500984159,0.22053126981135873,0.3354021969361115,0.2924901185770751,0.5017873128072493,0.5836559734275802
1,42,9,4,0.5930009650950838,0.5642904424056591,0.14732732225093192,0.1657805878130038,0.24190374779918344,0.6189100253916612,0.5754954238774116,1.1179122744189096,1.2477877314355774,0.21006084320937046,0.30781734889906903,0.3794466403162055,0.5645324849537805,0.36666671323958155
1,42,9,5,0.6409304443837509,0.6922066072073505,0.1452219932945552,0.11113883570307273,0.3192027044571232,0.6568656123656468,0.7000737481208807,1.0952168263477993,0.9432296042956748,0.22729837256509589,0.33791438845377075,0.2924901185770751,0.494269600015574,0.5397219089370624
1,42,9,6,0.6460672113282514,0.5339991843567983,0.14429027561661803,0.12307904753528381,0.2426433412683906,0.6577386749069046,0.5484513989945119,1.0972781360061687,0.7928311773428619,0.2941385120587462,0.3234160854509096,0.37662337662337664,0.5227442982131096,0.4037994863613292
1,42,9,7,0.6375000302506052,0.8318536135207487,0.14159487433330809,0.1592920789603546,0.3791113091205427,0.6556276274700884,0.844672767272788,1.070458855228969,1.3019016176183227,0.23380778473375086,0.32205043164414965,0.3939393939393939,0.5288352998616576,0.3317769939853424
1,42,9,8,0.6553855899513747,0.4369364328786143,0.146440278707369,0.1148641390778732,0.14126512497255939,0.6678865414291288,0.4367559186368158,1.137739732070417,0.8051681059112132,0.0759976749222504,0.3350241428083695,0.2987012987012987,0.5004728335539481,0.5412297724375744
1,42,9,9,0.6286726861720844,0.6884650154959385,0.14011011236272636,0.17347590702472224,0.339069858471052,0.6446070441598705,0.7033163637314278,1.0819478715357205,1.0944941431547195,0.3761593451059705,0.3168804565185583,0.3116883116883117,0.5348773918782878,0.584160207942684
1,42,9,10,0.645096174980939,0.4469179572374224,0.14313030507772614,0.13510565308193762,0.19834642028806282,0.6537268653824994,0.5286786870719841,1.0783003942539733,1.0577819916816464,0.24892087345425362,0.3384382773252695,0.3116883116883117,0.4877354400243444,0.6546696445048529
1,42,10,1,0.6534989854836913,0.4434867632699887,0.14185138257271263,0.153876700096517,0.17908196418612166,0.6668559670552798,0.4246849430505985,1.074985121326341,1.197838319571047,0.12011574797745295,0.3464853948081375,0.45454545454545453,0.4850382344926646,0.24438951581719479
1,42,10,2,0.6428920333773573,0.5869025985751707,0.14153067862299457,0.16761752754575632,0.24395737761523117,0.6584837551264326,0.6463668824514016,1.0353816404405392,1.5372962561779215,0.1598313381234273,0.3320033495886902,0.17786561264822134,0.4942276144855665,0.7993677910459016
1,42,10,3,0.6388986413952322,0.8031596212892372,0.14471863962434958,0.1305319178246724,0.40512682040913506,0.6564065207038189,0.7948105981449036,1.113543272458999,0.9182454384912683,0.405404868280265,0.32816117432638786,0.2924901185770751,0.5135063790776812,0.5809181432261602
1,42,10,4,0.6407799707580357,0.46353599811138274,0.1448599969114404,0.12858138547198047,0.19502761630885201,0.6472259830719019,0.5711069436357504,1.1036285506983599,0.9016290127603208,0.2552935998294883,0.329146347470568,0.2964426877470356,0.5064619125162101,0.6988756112861004
1,42,10,5,0.6301817176613265,0.7263431094578982,0.14337274787902768,0.1375566052303667,0.3863984857013071,0.6517048438968899,0.7128084924868946,1.0721308469490711,1.181684787998452,0.25208264307482775,0.33357962661937834,0.28063241106719367,0.5099834155346249,0.6007474291132735
1,42,10,6,0.636753932332951,0.6317016336582526,0.1441485355927211,0.12833284934790518,0.2132912183289637,0.6432638532980455,0.6557015271700112,1.1067474598400584,0.7351184400270735,0.3322088358571823,0.31790469687362827,0.47619047619047616,0.5324347051542974,0.033252844934802656
1,42,10,7,0.6697097594017263,0.3879127850041024,0.13964333284367128,0.16483556857691908,0.12378786954688137,0.6888443212179081,0.29166440625961826,1.0690432440777364,1.2059353481625008,-0.02587624323915061,0.3075647466224455,0.3939393939393939,0.567274282575491,0.3241457534263718
